datetime,date,hour,id_meteo_station,Velocità del vento,dew_point,humidity,temperature,wet_bulb,wind_dir,wind_gust
2025-06-23 01:30:32,2025-06-23,01:30:32,out,0.97,20.6,100.0,20.6,20.616,32.0,1.34
2025-06-23 01:30:46,2025-06-23,01:30:46,in,0.96,1310.8,0.0,20.8,6.461,329.1,1.32
2025-06-23 01:31:36,2025-06-23,01:31:36,out,0.85,20.6,100.0,20.6,20.616,43.7,1.41
2025-06-23 01:31:50,2025-06-23,01:31:50,in,0.96,1310.8,0.0,20.8,6.461,329.1,1.32
2025-06-23 01:32:40,2025-06-23,01:32:40,out,1.09,20.5,100.0,20.5,20.515,49.0,1.43
2025-06-23 01:32:53,2025-06-23,01:32:53,in,0.96,1310.8,0.0,20.7,6.42,329.1,1.32
2025-06-23 01:33:43,2025-06-23,01:33:43,out,1.03,20.5,100.0,20.5,20.515,53.8,1.84
2025-06-23 01:33:56,2025-06-23,01:33:56,in,0.96,1310.8,0.0,20.7,6.42,329.1,1.32
2025-06-23 01:34:46,2025-06-23,01:34:46,out,1.36,20.5,100.0,20.5,20.515,46.8,1.58
2025-06-23 01:35:00,2025-06-23,01:35:00,in,0.96,1310.8,0.0,20.7,6.42,329.1,1.32
2025-06-23 01:35:50,2025-06-23,01:35:50,out,1.49,20.5,100.0,20.5,20.515,60.7,1.59
2025-06-23 01:36:04,2025-06-23,01:36:04,in,0.96,1310.8,0.0,20.7,6.42,329.1,1.32
2025-06-23 01:36:54,2025-06-23,01:36:54,out,1.23,20.4,100.0,20.4,20.414,58.9,1.63
2025-06-23 01:37:07,2025-06-23,01:37:07,in,0.96,1310.8,0.0,20.6,6.378,329.1,1.32
2025-06-23 01:37:57,2025-06-23,01:37:57,out,0.85,20.4,100.0,20.4,20.414,51.7,1.4
2025-06-23 01:38:10,2025-06-23,01:38:10,in,0.96,1310.8,0.0,20.6,6.378,329.1,1.32
2025-06-23 01:39:00,2025-06-23,01:39:00,out,0.81,20.4,100.0,20.4,20.414,56.0,1.16
2025-06-23 01:39:14,2025-06-23,01:39:14,in,0.96,1310.8,0.0,20.6,6.378,329.1,1.32
2025-06-23 01:40:04,2025-06-23,01:40:04,out,0.52,20.4,100.0,20.4,20.414,81.5,0.97
2025-06-23 01:40:18,2025-06-23,01:40:18,in,0.96,1310.8,0.0,20.6,6.378,329.1,1.32
2025-06-23 01:41:08,2025-06-23,01:41:08,out,0.96,20.4,100.0,20.4,20.414,44.8,1.5
2025-06-23 01:41:22,2025-06-23,01:41:22,in,0.96,1310.8,0.0,20.6,6.378,329.1,1.32
2025-06-23 01:42:12,2025-06-23,01:42:12,out,1.01,20.4,100.0,20.4,20.414,41.3,1.41
2025-06-23 01:42:24,2025-06-23,01:42:24,in,0.96,1310.8,0.0,20.6,6.378,329.1,1.32
2025-06-23 01:43:14,2025-06-23,01:43:14,out,0.62,20.3,100.0,20.3,20.314,45.9,1.22
2025-06-23 01:43:28,2025-06-23,01:43:28,in,0.96,1310.8,0.0,20.6,6.378,329.1,1.32
2025-06-23 01:44:18,2025-06-23,01:44:18,out,1.0,20.3,100.0,20.3,20.314,44.1,1.15
2025-06-23 01:44:32,2025-06-23,01:44:32,in,0.96,1310.8,0.0,20.5,6.337,329.1,1.32
2025-06-23 01:45:22,2025-06-23,01:45:22,out,1.19,,,20.3,,20.3,10.0
2025-06-23 01:45:35,2025-06-23,01:45:35,in,0.96,1310.8,0.0,20.5,6.337,329.1,1.32
2025-06-23 01:46:26,2025-06-23,01:46:26,out,1.18,20.3,100.0,20.3,20.314,28.6,1.22
2025-06-23 01:46:38,2025-06-23,01:46:38,in,0.96,1310.8,0.0,20.5,6.337,329.1,1.32
2025-06-23 01:47:28,2025-06-23,01:47:28,out,0.98,20.3,100.0,20.3,20.314,31.3,1.18
2025-06-23 01:47:42,2025-06-23,01:47:42,in,0.96,1310.8,0.0,20.5,6.337,329.1,1.32
2025-06-23 01:48:32,2025-06-23,01:48:32,out,0.89,20.3,100.0,20.3,20.314,43.6,1.24
2025-06-23 01:48:46,2025-06-23,01:48:46,in,0.96,1310.8,0.0,20.4,6.295,329.1,1.32
2025-06-23 01:49:36,2025-06-23,01:49:36,out,1.26,20.3,100.0,20.3,20.314,34.8,1.46
2025-06-23 01:49:50,2025-06-23,01:49:50,in,0.96,1310.8,0.0,20.4,6.295,329.1,1.32
2025-06-23 01:50:40,2025-06-23,01:50:40,out,0.83,20.3,100.0,20.3,20.314,18.8,1.27
